month,region,wea,dens_90,dens_75,dens_50,dens_avg,ann_reg_90,ann_reg_75,ann_reg_50,ann_reg_avg,ann_coast_avg,constraint
April,Mid-Atlantic,OCS-A 0482,0.04948658794164657,0.0493001788854599,0.046817805618047714,0.04601551105196659,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0483,0.08890592977404595,0.08686600439250469,0.0803539901971817,0.07861447744071484,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0490,0.059396485239267355,0.044359784573316574,0.0342387929558754,0.0401513259857893,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0498,0.05335639826953411,0.052454098127782345,0.05217222683131695,0.05134686858703693,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0499,0.051190679892897606,0.050604285672307014,0.048813099041581154,0.04800154687836766,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0508,0.024011878110468392,0.0162407997995615,0.01279586460441351,0.015226275453137027,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0512,0.11361731439828873,0.10833048820495605,0.10305812954902649,0.0979947940661357,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0519,0.04513381198048592,0.04496334306895733,0.04467922821640968,0.04405338938037554,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0532,0.053562584519386294,0.0531560555100441,0.050926849246025085,0.048294087126851085,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0537,0.1422716736793518,0.13923823833465576,0.12309131026268005,0.12189854734710284,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0538,0.11317057013511658,0.09545004367828369,0.0679011195898056,0.07913845634231201,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0539,0.1419923260807991,0.13229776173830032,0.10311177745461464,0.10830696713593271,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0541,0.11849127411842347,0.10772300139069557,0.08823635429143906,0.0899035097765071,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0542,0.1470841705799103,0.1441459245979786,0.14245042949914932,0.13956164462225779,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0544,0.1281602904200554,0.12328504957258701,0.12013426795601845,0.1205831269423167,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Mid-Atlantic,OCS-A 0549,0.04741524085402488,0.046885471791028976,0.04362746328115463,0.04349688182656582,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
April,Southeast,OCS-A 0545,0.0038435240276157847,0.0034319612896069884,0.00275865092407912,0.002990243409294635,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
April,Southeast,OCS-A 0546,0.0034201183356344688,0.0030155496206134558,0.002330529736354947,0.0025654244236648083,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
April,Southern New England,OCS-A 0486,0.8729501664638519,0.8331712633371353,0.7279137670993805,0.691183440387249,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
April,Southern New England,OCS-A 0487,0.5093035042285919,0.3595215082168579,0.2486400008201599,0.29342007286408367,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
April,Southern New England,OCS-A 0500,1.0958273887634278,1.0180800259113312,0.7600852847099304,0.6676345538833867,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
April,Southern New England,OCS-A 0501,1.082389235496521,1.018808364868164,0.9610109329223633,0.9709763960404829,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
April,Southern New England,OCS-A 0517,0.6915535092353821,0.6491780579090118,0.5785523056983948,0.5692460834980011,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
April,Southern New England,OCS-A 0520,0.6717889428138735,0.43617624044418335,0.24414438754320145,0.32415820136666296,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
April,Southern New England,OCS-A 0521,0.6779933810234072,0.4870409220457077,0.2056940421462059,0.33364913128316404,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
April,Southern New England,OCS-A 0522,1.4182461380958566,0.8867450803518295,0.4928954988718033,0.6620264588431879,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
